price,date,product,market,measurement
1450.0,2019-01-09,"Altan Taria Packaged Flour, High Grade",Nomin,kilogram
1340.0,2019-01-09,"Altan Taria Packaged Flour, High Grade",Orgil,kilogram
1330.0,2019-01-09,"Altan Taria Packaged Flour, High Grade",Sansar,kilogram
1300.0,2019-01-09,"Altan Taria Packaged Flour, High Grade",Tavan Erdene,kilogram
1700.0,2019-01-09,"Altan Taria Packaged Flour, Top Grade",Bars,kilogram
1700.0,2019-01-09,"Altan Taria Packaged Flour, Top Grade",Bayanzurkh,kilogram
1750.0,2019-01-09,"Altan Taria Packaged Flour, Top Grade",Bumbugur,kilogram
1860.0,2019-01-09,"Altan Taria Packaged Flour, Top Grade",Emart,kilogram
1700.0,2019-01-09,"Altan Taria Packaged Flour, Top Grade",Kharkhorin,kilogram
1850.0,2019-01-09,"Altan Taria Packaged Flour, Top Grade",Khuchit Shonkhor,kilogram
